ID,注册时长,营收收入,成本
20001,29,46,8.33316
20002,26,32,7.1904
20003,59,172,10.1115
20004,22,24,0.95979
20005,56,87,17.976
20006,32,41,4.42338
20007,19,37,1.46055
20008,51,114,11.36875
20009,22,42,3.2528
20010,43,42,5.75874
20011,19,20,1.05716
20012,20,22,0.5136
20013,37,21,2.60866
20014,38,69,4.22864
20015,23,25,1.33536
20016,47,139,7.36695
20017,27,22,1.84254
20018,37,27,0.6955
20019,41,86,15.26676
20020,60,135,20.88533
20021,39,36,2.8248
20022,63,55,11.9412
20023,37,38,1.81044
20024,38,43,8.29143
20025,30,54,0.70941
20026,29,32,2.7285
20027,42,37,1.09675
20028,41,59,19.8913
20029,59,169,8.35884
20030,27,30,5.24407
20031,26,33,1.02827
20032,19,17,1.0272
20033,25,19,0.55854
20034,37,62,20.59108
20035,24,56,1.7013
20036,33,56,1.53117
20037,37,34,2.60224
20038,40,103,17.3019
20039,39,55,7.04916
20040,45,46,6.11184
20041,29,17,0.89024
20042,39,38,1.84896
20043,37,26,1.73768
20044,26,20,0.69122
20045,27,20,1.56541
20046,25,29,1.97736
20047,55,38,8.26896
20048,19,46,4.33136
20049,47,87,7.29312
20050,22,32,1.3803
20051,35,63,6.099
20052,40,240,16.41701
20053,21,21,1.5408
20054,28,29,1.70772
20055,20,33,9.51979
20056,45,59,8.7633
20057,36,76,5.85504
20058,19,19,2.44602
20059,32,40,1.87036
20060,35,125,19.48149
20061,38,29,1.46804
20062,24,49,4.47581
20063,21,32,3.4026
20064,20,22,2.6964
20065,20,21,0.5136
20066,19,13,0.5136
20067,30,55,9.34752
20068,44,39,3.17469
20069,29,53,4.601
20070,33,44,4.62882
20071,41,41,1.75266
20072,21,18,1.32787
20073,36,35,2.48026
20074,19,30,1.73768
20075,24,69,1.90674
20076,45,85,12.73728
20077,29,23,1.27116
20078,27,38,5.54688
20079,36,30,4.37844
20080,43,98,10.28484
20081,36,71,8.65844
20082,38,35,1.46376
20083,32,64,1.89283
20084,41,86,5.43988
20085,27,26,2.889
20086,46,213,24.03648
20087,60,55,5.02579
20088,41,40,4.61384
20089,58,51,12.16376
20090,25,30,7.32308
20091,20,21,1.1984
20092,39,164,14.0598
20093,28,29,1.55792
20094,37,45,7.597
20095,21,47,3.70755
20096,33,43,1.66706
20097,27,40,3.09016
20098,55,55,14.3166
20099,30,70,5.66351
20100,40,34,7.28456
20101,40,96,3.79743
20102,39,54,6.9443
20103,36,29,1.16416
20104,45,61,13.19096
20105,20,53,0.963
20106,34,74,2.3968
20107,21,27,1.1128
20108,32,28,1.79118
20109,35,48,1.87036
20110,36,101,5.54688
20111,21,29,5.3928
20112,47,366,21.99171
20113,27,41,0.8346
20114,55,23,8.8275
20115,32,35,2.61294
20116,40,45,8.54609
20117,30,37,7.90195
20118,20,22,1.77513
20119,29,21,1.3268
20120,54,280,22.08052
20121,28,48,0.93518
20122,33,63,17.5266
20123,20,22,0.56175
20124,21,19,0.5136
20125,20,18,1.00045
20126,37,53,8.12986
20127,35,83,9.12924
20128,68,51,4.67376
20129,39,58,4.708
20130,45,106,9.51444
20131,29,118,11.86416
20132,29,35,7.23855
20133,41,118,25.40608
20134,36,35,2.64825
20135,43,46,7.74894
20136,38,37,0.5136
20137,25,22,3.07839
20138,37,81,8.76116
20139,21,24,0.5136
20140,30,54,6.82125
20141,39,60,6.58692
20142,23,30,1.14811
20143,29,81,0.5136
20144,40,62,10.84124
20145,27,44,4.76364
20146,29,21,4.5154
20147,37,168,23.112
20148,21,28,2.97567
20149,36,48,11.0745
20150,36,126,8.2176
20151,41,48,3.23247
20152,36,27,0.52858
20153,30,36,6.9122
20154,22,30,0.5136
20155,28,43,2.10576
20156,38,58,11.5346
20157,19,19,2.52306
20158,24,65,1.9902
20159,46,31,2.61936
20160,24,37,5.6175
20161,38,160,10.54592
20162,26,16,1.42845
20163,19,22,1.48302
20164,38,18,3.2742
20165,35,36,4.62026
20166,27,58,6.4735
20167,20,15,1.22836
20168,30,41,4.84068
20169,36,79,1.11708
20170,35,28,5.95134
20171,21,29,2.93608
20172,29,64,10.50847
20173,21,23,2.37754
20174,30,77,19.60561
20175,20,16,1.52475
20176,26,69,2.96604
20177,40,202,59.37216
20178,29,25,6.31728
20179,44,60,3.10728
20180,30,41,4.29819
20181,39,39,6.41358
20182,20,27,4.78504
20183,29,21,1.926
20184,38,33,6.9657
20185,41,54,5.61857
20186,24,36,3.34696
20187,39,85,20.01542
20188,48,226,15.45294
20189,25,23,1.31824
20190,39,56,16.05428
20191,26,35,4.66092
20192,19,29,2.42676
20193,29,23,2.7071
20194,32,47,4.815
20195,40,56,2.94892
20196,20,35,2.64825
20197,36,36,11.67798
20198,33,32,0.6099
20199,36,43,3.29025
20200,41,78,8.92594
20201,23,33,3.35017
20202,59,38,0.71904
20203,22,38,5.43132
20204,24,36,6.1846
20205,41,79,4.494
20206,49,95,15.2796
20207,38,106,14.15717
20208,22,16,0.65805
20209,34,35,8.68626
20210,20,20,1.09782
20211,43,35,2.79591
20212,25,70,6.38041
20213,29,184,36.3265
20214,29,49,6.08509
20215,46,131,7.54992
20216,20,22,1.82007
20217,32,38,1.81044
20218,38,60,6.14394
20219,44,178,22.0206
20220,25,26,1.52475
20221,41,88,3.05592
20222,20,21,5.5426
20223,24,18,3.87447
20224,20,27,3.97826
20225,27,25,2.02872
20226,35,50,1.90032
20227,50,54,13.8886
20228,42,36,1.926
20229,34,28,0.52002
20230,23,22,2.65146
20231,24,29,0.5136
20232,37,51,4.37416
20233,58,132,10.2399
20234,45,80,1.31824
20235,32,68,9.3197
20236,61,80,5.93208
20237,38,37,3.03345
20238,58,243,37.71108
20239,23,29,5.93208
20240,60,64,2.0972
20241,37,28,0.5136
20242,33,49,12.37134
20243,37,85,5.89356
20244,21,28,0.5136
20245,19,33,3.01847
20246,39,65,15.85526
20247,54,76,14.3808
20248,20,41,1.83612
20249,22,37,8.50115
20250,47,114,20.99875
20251,65,54,15.40372
20252,23,19,0.6741
20253,27,24,2.01802
20254,39,45,3.1458
20255,19,23,0.80036
20256,27,23,1.57718
20257,65,212,71.80128
20258,35,27,3.56096
20259,36,27,0.963
20260,27,24,0.61525
20261,41,38,2.889
20262,38,59,10.1543
20263,46,52,11.89305
20264,19,19,0.5136
20265,28,33,1.29363
20266,24,20,0.5136
20267,34,23,5.2965
20268,44,121,5.83471
20269,26,30,0.83781
20270,51,131,12.48048
20271,29,32,6.5805
20272,24,30,5.18201
20273,44,147,10.74708
20274,36,49,3.5203
20275,27,45,4.50898
20276,29,35,2.75418
20277,23,28,1.7334
20278,40,99,21.72528
20279,64,448,52.22349
20280,35,36,1.05502
20281,28,21,2.354
20282,34,83,5.15633
20283,34,37,2.1721
20284,47,114,0.66875
20285,55,35,1.30112
20286,34,33,4.71014
20287,23,53,0.642
20288,53,46,2.40108
20289,36,62,4.10345
20290,32,21,1.7976
20291,55,71,4.173
20292,21,21,3.7664
20293,20,20,0.67089
20294,41,49,4.87813
20295,26,22,2.247
20296,25,63,7.1904
20297,34,55,3.28276
20298,38,72,6.12789
20299,25,67,3.01312
20300,55,115,16.71768
20301,36,51,2.6215
20302,23,30,6.11291
20303,56,181,10.00771
20304,39,95,15.80176
20305,28,39,5.50301
20306,40,39,1.74196
20307,56,79,15.08058
20308,24,20,1.46376
20309,41,199,2.3433
20310,21,61,1.73768
20311,19,30,2.32725
20312,38,39,0.59813
20313,27,16,1.07535
20314,23,15,1.75266
20315,33,64,1.3054
20316,21,25,2.41392
20317,42,29,3.7664
20318,49,64,7.1155
20319,37,49,3.98682
20320,19,27,2.03086
20321,21,22,2.08971
20322,36,62,11.74218
20323,32,29,4.73368
20324,28,66,0.6741
20325,33,25,3.31272
